chieff,p_iso_flat,p_ali_flat,p_iso_high,p_ali_high,p_iso_low,p_ali_low
-1,0,0,0,0,0,0
-0.999,0,0,0,0,0,0
-0.998,0,0,0,0,0,0
-0.997,0,0,0,0,0,0
-0.996,0,0,0,0,0,0
-0.995,0,0,0,0,0,0
-0.994,0,0,0,0,0,0
-0.993,0,0,0,0,0,0
-0.992,0,0,0,0,0,0
-0.991,0,0,0,0,0,0
-0.99,9999999999999991e-20,0,9999999999999991e-20,0,0,0
-0.989,9999999999999991e-20,0,9999999999999991e-20,0,0,0
-0.988,9999999999999991e-20,0,9999999999999991e-20,0,0,0
-0.987,9999999999999991e-20,0,9999999999999991e-20,0,0,0
-0.986,9999999999999991e-20,0,9999999999999991e-20,0,0,0
-0.985,9999999999999991e-20,0,9999999999999991e-20,0,0,0
-0.984,9999999999999991e-20,0,9999999999999991e-20,0,0,0
-0.983,9999999999999991e-20,0,9999999999999991e-20,0,0,0
-0.982,9999999999999991e-20,0,9999999999999991e-20,0,0,0
-0.981,9999999999999991e-20,0,9999999999999991e-20,0,0,0
-0.98,9999999999999991e-20,0,0.00039999999999999964,0,0,0
-0.979,9999999999999991e-20,0,0.00039999999999999964,0,0,0
-0.978,9999999999999991e-20,0,0.00039999999999999964,0,0,0
-0.977,9999999999999991e-20,0,0.00039999999999999964,0,0,0
-0.976,9999999999999991e-20,0,0.00039999999999999964,0,0,0
-0.975,9999999999999991e-20,0,0.00039999999999999964,0,0,0
-0.974,9999999999999991e-20,0,0.00039999999999999964,0,0,0
-0.973,9999999999999991e-20,0,0.00039999999999999964,0,0,0
-0.972,9999999999999991e-20,0,0.00039999999999999964,0,0,0
-0.971,9999999999999991e-20,0,0.00039999999999999964,0,0,0
-0.97,0,0,9999999999999991e-20,0,0,0
-0.969,0,0,9999999999999991e-20,0,0,0
-0.968,0,0,9999999999999991e-20,0,0,0
-0.967,0,0,9999999999999991e-20,0,0,0
-0.966,0,0,9999999999999991e-20,0,0,0
-0.965,0,0,9999999999999991e-20,0,0,0
-0.964,0,0,9999999999999991e-20,0,0,0
-0.963,0,0,9999999999999991e-20,0,0,0
-0.962,0,0,9999999999999991e-20,0,0,0
-0.961,0,0,9999999999999991e-20,0,0,0
-0.96,9999999999999991e-20,0,0.00039999999999999964,0,0,0
-0.959,9999999999999991e-20,0,0.00039999999999999964,0,0,0
-0.958,9999999999999991e-20,0,0.00039999999999999964,0,0,0
-0.957,9999999999999991e-20,0,0.00039999999999999964,0,0,0
-0.956,9999999999999991e-20,0,0.00039999999999999964,0,0,0
-0.955,9999999999999991e-20,0,0.00039999999999999964,0,0,0
-0.954,9999999999999991e-20,0,0.00039999999999999964,0,0,0
-0.953,9999999999999991e-20,0,0.00039999999999999964,0,0,0
-0.952,9999999999999991e-20,0,0.00039999999999999964,0,0,0
-0.951,9999999999999991e-20,0,0.00039999999999999964,0,0,0
-0.95,9999999999999991e-20,0,0.0004999999999999996,0,0,0
-0.949,9999999999999991e-20,0,0.0004999999999999996,0,0,0
-0.948,9999999999999991e-20,0,0.0004999999999999996,0,0,0
-0.947,9999999999999991e-20,0,0.0004999999999999996,0,0,0
-0.946,9999999999999991e-20,0,0.0004999999999999996,0,0,0
-0.945,9999999999999991e-20,0,0.0004999999999999996,0,0,0
-0.944,9999999999999991e-20,0,0.0004999999999999996,0,0,0
-0.943,9999999999999991e-20,0,0.0004999999999999996,0,0,0
-0.942,9999999999999991e-20,0,0.0004999999999999996,0,0,0
-0.941,9999999999999991e-20,0,0.0004999999999999996,0,0,0
-0.94,0.00020000000000000204,0,0.0009000000000000092,0,0,0
-0.939,0.00020000000000000204,0,0.0009000000000000092,0,0,0
-0.938,0.00020000000000000204,0,0.0009000000000000092,0,0,0
-0.937,0.00020000000000000204,0,0.0009000000000000092,0,0,0
-0.936,0.00020000000000000204,0,0.0009000000000000092,0,0,0
-0.935,0.00020000000000000204,0,0.0009000000000000092,0,0,0
-0.934,0.00020000000000000204,0,0.0009000000000000092,0,0,0
-0.933,0.00020000000000000204,0,0.0009000000000000092,0,0,0
-0.932,0.00020000000000000204,0,0.0009000000000000092,0,0,0
-0.931,0.00020000000000000204,0,0.0009000000000000092,0,0,0
-0.93,0.00019999999999999982,0,0.0009999999999999992,0,0,0
-0.929,0.00019999999999999982,0,0.0009999999999999992,0,0,0
-0.928,0.00019999999999999982,0,0.0009999999999999992,0,0,0
-0.927,0.00019999999999999982,0,0.0009999999999999992,0,0,0
-0.926,0.00019999999999999982,0,0.0009999999999999992,0,0,0
-0.925,0.00019999999999999982,0,0.0009999999999999992,0,0,0
-0.924,0.00019999999999999982,0,0.0009999999999999992,0,0,0
-0.923,0.00019999999999999982,0,0.0009999999999999992,0,0,0
-0.922,0.00019999999999999982,0,0.0009999999999999992,0,0,0
-0.921,0.00019999999999999982,0,0.0009999999999999992,0,0,0
-0.92,0.0005999999999999994,0,0.0014999999999999987,0,0,0
-0.919,0.0005999999999999994,0,0.0014999999999999987,0,0,0
-0.918,0.0005999999999999994,0,0.0014999999999999987,0,0,0
-0.917,0.0005999999999999994,0,0.0014999999999999987,0,0,0
-0.916,0.0005999999999999994,0,0.0014999999999999987,0,0,0
-0.915,0.0005999999999999994,0,0.0014999999999999987,0,0,0
-0.914,0.0005999999999999994,0,0.0014999999999999987,0,0,0
-0.913,0.0005999999999999994,0,0.0014999999999999987,0,0,0
-0.912,0.0005999999999999994,0,0.0014999999999999987,0,0,0
-0.911,0.0005999999999999994,0,0.0014999999999999987,0,0,0
-0.91,0.0002999999999999997,0,0.0019999999999999983,0,0,0
-0.909,0.0002999999999999997,0,0.0019999999999999983,0,0,0
-0.908,0.0002999999999999997,0,0.0019999999999999983,0,0,0
-0.907,0.0002999999999999997,0,0.0019999999999999983,0,0,0
-0.906,0.0002999999999999997,0,0.0019999999999999983,0,0,0
-0.905,0.0002999999999999997,0,0.0019999999999999983,0,0,0
-0.904,0.0002999999999999997,0,0.0019999999999999983,0,0,0
-0.903,0.0002999999999999997,0,0.0019999999999999983,0,0,0
-0.902,0.0002999999999999997,0,0.0019999999999999983,0,0,0
-0.901,0.0002999999999999997,0,0.0019999999999999983,0,0,0
-0.9,0.0007999999999999993,0,0.0030999999999999973,0,0,0
-0.899,0.0007999999999999993,0,0.0030999999999999973,0,0,0
